30.2721700000	109.4881700000		
32.4354900000	105.8435700000		
29.9853900000	122.2077800000		
28.6561100000	121.4205600000		
24.4034600000	111.5665500000		
38.1332500000	85.5284700000		
22.0000800000	100.7716300000		
33.1852300000	103.9267000000		
39.4704200000	75.9897600000		
24.4323200000	98.5848600000		
30.8373100000	106.1107300000		
42.0222000000	128.0737800000		
26.5822800000	101.7187200000		
18.2524800000	109.5120900000		
25.0205300000	98.4909700000		
43.6524700000	122.2446900000		
30.1295900000	118.1749400000		
27.6267600000	117.9794600000		
30.8146400000	108.3671700000		
43.9333900000	116.0860800000		
35.0262800000	111.0069900000		
21.2713400000	110.3589400000		
